epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
65,5990.23,0.52086,3.23439,0.17615,0.36838,0.01317,0.71593,0.97209,0.97648,0.98999,0.85918,0.89073,0.85625,0.86142,0.71671,0.41183,2.33369,0.04414,0.24011,0.01355,0,0.000588479,0.000588479,0.000588479
66,6415.61,0.52167,3.24112,0.17635,0.37432,0.01322,0.68146,0.971,0.97725,0.99001,0.85927,0.89269,0.85421,0.86153,0.71707,0.41145,2.32815,0.04405,0.23963,0.01353,0,0.000560549,0.000560549,0.000560549
67,6841.14,0.51632,3.19489,0.17572,0.36189,0.0131,0.66215,0.97196,0.97633,0.98986,0.85931,0.89299,0.85611,0.86201,0.71726,0.4107,2.32095,0.04384,0.23977,0.01351,0,0.000533064,0.000533064,0.000533064
68,7266.32,0.50982,3.11382,0.17231,0.36056,0.01285,0.5635,0.9704,0.97762,0.98996,0.85967,0.89474,0.85577,0.86272,0.71848,0.4101,2.31431,0.04378,0.23959,0.01349,0,0.000506049,0.000506049,0.000506049
69,7692.29,0.51154,3.12492,0.17261,0.3599,0.01294,0.5995,0.97224,0.97706,0.99013,0.8598,0.89121,0.85918,0.86305,0.71822,0.40954,2.30902,0.04356,0.23857,0.01346,0,0.000479531,0.000479531,0.000479531
70,8117.54,0.51153,3.12054,0.17198,0.35997,0.01297,0.56308,0.97235,0.97757,0.99028,0.85995,0.89122,0.85931,0.86322,0.71989,0.40904,2.30327,0.04348,0.2381,0.01344,0,0.000453537,0.000453537,0.000453537
71,8542.88,0.50941,3.10808,0.17153,0.36298,0.0129,0.5738,0.97292,0.97693,0.99028,0.86099,0.89117,0.85991,0.86381,0.72061,0.40846,2.29773,0.04333,0.23786,0.01342,0,0.000428093,0.000428093,0.000428093
72,8968.17,0.50455,3.07957,0.17094,0.35838,0.0127,0.5303,0.97164,0.97804,0.99016,0.86114,0.89267,0.85956,0.86408,0.72065,0.40782,2.29161,0.04315,0.23787,0.0134,0,0.000403222,0.000403222,0.000403222
73,9393.54,0.50252,3.08055,0.17142,0.35733,0.01262,0.52111,0.97131,0.97808,0.99022,0.86126,0.89105,0.86092,0.86399,0.72101,0.40735,2.28727,0.04305,0.23695,0.01338,0,0.00037895,0.00037895,0.00037895
74,9818.65,0.50059,3.00463,0.16987,0.3558,0.01262,0.4711,0.97115,0.97819,0.99023,0.86191,0.8927,0.85905,0.86458,0.72139,0.40669,2.28233,0.04293,0.23602,0.01336,0,0.000355301,0.000355301,0.000355301
75,10243.3,0.50033,3.00455,0.16862,0.35275,0.01258,0.46551,0.97228,0.97887,0.99032,0.86201,0.8941,0.86288,0.86499,0.72179,0.40645,2.27743,0.04281,0.23467,0.01334,0,0.000332298,0.000332298,0.000332298
76,10668.2,0.49818,3.02099,0.16919,0.34832,0.01263,0.52014,0.97203,0.97877,0.99039,0.86217,0.89537,0.86262,0.86514,0.723,0.40584,2.27275,0.0427,0.23454,0.01332,0,0.000309964,0.000309964,0.000309964
77,11093.4,0.49829,2.98947,0.17141,0.35267,0.01249,0.43798,0.97173,0.97923,0.99038,0.86224,0.8939,0.8611,0.86513,0.72329,0.40535,2.26691,0.04247,0.23476,0.0133,0,0.000288321,0.000288321,0.000288321
78,11517.9,0.49676,2.99653,0.16867,0.34856,0.01249,0.47037,0.9718,0.97846,0.99036,0.86305,0.89675,0.86112,0.86538,0.72347,0.40488,2.2635,0.04226,0.23446,0.01328,0,0.00026739,0.00026739,0.00026739
79,11943.6,0.4954,2.99533,0.16852,0.35584,0.01246,0.46388,0.97184,0.97808,0.99021,0.86308,0.89751,0.86122,0.8651,0.72307,0.40435,2.25975,0.04214,0.23472,0.01326,0,0.000247192,0.000247192,0.000247192
80,12369.2,0.49591,2.99896,0.16827,0.34909,0.01244,0.44336,0.97057,0.97935,0.9902,0.863,0.89733,0.86058,0.86515,0.72297,0.40402,2.25432,0.042,0.23399,0.01325,0,0.000227747,0.000227747,0.000227747
81,12794.1,0.49231,2.94659,0.1672,0.35154,0.01235,0.41091,0.97268,0.97872,0.99027,0.86318,0.89725,0.86148,0.86548,0.7238,0.40351,2.25008,0.04184,0.23348,0.01323,0,0.000209073,0.000209073,0.000209073
82,13219.9,0.49151,2.94393,0.16669,0.34639,0.01232,0.43392,0.97272,0.97846,0.99027,0.86377,0.89271,0.86734,0.86602,0.72504,0.4031,2.24613,0.04168,0.23333,0.01321,0,0.00019119,0.00019119,0.00019119
83,13645.5,0.48878,2.92909,0.16681,0.34672,0.01227,0.43208,0.97226,0.9791,0.99029,0.86396,0.89508,0.86606,0.8661,0.72525,0.40266,2.24337,0.0416,0.23246,0.0132,0,0.000174115,0.000174115,0.000174115
84,14071.5,0.49327,2.962,0.16664,0.35116,0.01233,0.41211,0.97296,0.97846,0.99026,0.86416,0.89486,0.86517,0.86608,0.72612,0.40245,2.23883,0.04129,0.2319,0.01319,0,0.000157865,0.000157865,0.000157865
85,14498.1,0.49305,2.9679,0.16614,0.35464,0.01236,0.41309,0.97141,0.97885,0.99022,0.86431,0.89355,0.86721,0.86589,0.72607,0.40195,2.23467,0.04117,0.23229,0.01317,0,0.000142456,0.000142456,0.000142456
86,456.51,0.49174,2.84451,0.17105,0.34805,0.01232,0.39158,0.97224,0.97754,0.99012,0.86437,0.89427,0.86664,0.86601,0.72616,0.40175,2.23403,0.04115,0.23215,0.01317,0,0.000127904,0.000127904,0.000127904
87,881.832,0.49251,2.8591,0.17162,0.34846,0.01239,0.3913,0.97241,0.97783,0.99017,0.86435,0.89365,0.86632,0.86597,0.72625,0.40143,2.23335,0.04113,0.23232,0.01316,0,0.000114221,0.000114221,0.000114221
88,1308.35,0.49181,2.86769,0.17151,0.34902,0.0123,0.37869,0.97283,0.97808,0.99023,0.86429,0.89692,0.86364,0.86604,0.72627,0.40141,2.23268,0.04113,0.23235,0.01316,0,0.000101423,0.000101423,0.000101423
89,1732.82,0.48948,2.82758,0.1691,0.3432,0.0123,0.36672,0.97265,0.97846,0.99026,0.86422,0.8938,0.86555,0.866,0.72624,0.40133,2.23149,0.04112,0.23206,0.01315,0,8.95213e-05,8.95213e-05,8.95213e-05
90,2156.78,0.49186,2.88491,0.17146,0.34733,0.01227,0.3999,0.97239,0.97854,0.99018,0.86433,0.89194,0.86782,0.86602,0.72632,0.40142,2.23104,0.0411,0.23186,0.01315,0,7.8528e-05,7.8528e-05,7.8528e-05
91,2585.38,0.42665,2.28991,0.08486,0.24211,0.01502,1.19423,0.9729,0.97757,0.99024,0.86419,0.89128,0.86812,0.86607,0.72625,0.40125,2.2303,0.04097,0.23224,0.01315,0,6.8454e-05,6.8454e-05,6.8454e-05
92,3009.45,0.41519,2.2388,0.07897,0.22866,0.01444,1.09795,0.97188,0.97776,0.99033,0.8644,0.89275,0.86798,0.86624,0.72663,0.40122,2.22971,0.04075,0.2316,0.01315,0,5.93093e-05,5.93093e-05,5.93093e-05
93,3433.42,0.41364,2.21204,0.07871,0.22956,0.01444,1.06736,0.97233,0.97834,0.99034,0.86439,0.89503,0.86747,0.8718,0.72724,0.40098,2.22708,0.0405,0.23128,0.01314,0,5.11027e-05,5.11027e-05,5.11027e-05
94,3856.76,0.41346,2.21255,0.0783,0.22902,0.0144,1.06347,0.97193,0.97821,0.99028,0.86457,0.89519,0.86683,0.87195,0.72735,0.40062,2.22484,0.04026,0.23116,0.01312,0,4.38424e-05,4.38424e-05,4.38424e-05
95,4280.59,0.4112,2.19169,0.07502,0.2258,0.01434,1.04227,0.97301,0.97783,0.99036,0.86477,0.89766,0.86645,0.87197,0.72739,0.40062,2.22343,0.03998,0.22951,0.01312,0,3.75356e-05,3.75356e-05,3.75356e-05
96,4704.66,0.40937,2.19836,0.07625,0.2283,0.01424,1.03433,0.97374,0.97818,0.99047,0.86505,0.89731,0.86746,0.8722,0.72761,0.40029,2.2213,0.03976,0.22872,0.01311,0,3.21885e-05,3.21885e-05,3.21885e-05
97,5127.66,0.40761,2.17717,0.07645,0.22555,0.01416,1.02607,0.97254,0.97952,0.99042,0.86512,0.89784,0.86645,0.87268,0.72784,0.39993,2.21917,0.03948,0.22859,0.01309,0,2.78064e-05,2.78064e-05,2.78064e-05
98,5550.64,0.40911,2.18102,0.07607,0.2237,0.01424,1.02216,0.97386,0.97818,0.99063,0.86534,0.89951,0.86708,0.8731,0.72801,0.39964,2.21665,0.0392,0.22801,0.01308,0,2.43937e-05,2.43937e-05,2.43937e-05
99,5976.43,0.40845,2.17372,0.07469,0.22559,0.01421,1.01818,0.97386,0.97818,0.99059,0.8662,0.8969,0.87014,0.87313,0.72828,0.3994,2.21517,0.03901,0.22705,0.01307,0,2.19535e-05,2.19535e-05,2.19535e-05
100,6402.51,0.40493,2.15185,0.07494,0.22264,0.01401,0.97945,0.97325,0.97832,0.99073,0.86613,0.89887,0.86989,0.87433,0.72842,0.39889,2.21313,0.03874,0.22725,0.01305,0,2.04885e-05,2.04885e-05,2.04885e-05
